Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
Kennedale,220-914,NO,II,NO,$80 Million,$80 Million
Kerens,175-907,NO,IV,NO,$40 Million,$40 Million
Kermit,248-901,YES,I,YES,$30 Million,$30 Million
Kerrville,133-903,NO,II,NO,$80 Million,$80 Million
Kilgore,092-902,YES,I,NO,$30 Million,$30 Million
Killeen,014-906,YES,III,NO,$20 Million,$10 Million
Kingsville,137-901,YES,III,YES,$20 Million,$10 Million
Kirbyville,121-905,YES,III,YES,$20 Million,$10 Million
Klein,101-915,NO,I,NO,$100 Million,$100 Million
Klondike,058-905,YES,III,YES,$20 Million,$10 Million
Knippa,232-901,YES,III,YES,$20 Million,$10 Million
Knox City-O'Brien,138-902,YES,III,YES,$20 Million,$10 Million
Kopperl,018-907,YES,III,YES,$20 Million,$10 Million
Kountze,100-903,YES,III,NO,$20 Million,$10 Million
Kress,219-905,YES,III,YES,$20 Million,$10 Million
Krum,061-905,NO,III,NO,$60 Million,$60 Million
La Feria,031-905,YES,III,NO,$20 Million,$10 Million
La Gloria,125-906,YES,III,YES,$20 Million,$10 Million
La Grange,075-902,YES,II,YES,$25 Million,$20 Million
La Joya,108-912,YES,III,NO,$20 Million,$10 Million
La Porte,101-916,NO,I,NO,$100 Million,$100 Million
La Poynor,107-910,NO,IV,NO,$40 Million,$40 Million
La Pryor,254-902,YES,III,YES,$20 Million,$10 Million
La Vega,161-906,NO,III,NO,$60 Million,$60 Million
La Vernia,247-903,NO,II,NO,$80 Million,$80 Million
La Villa,108-914,YES,III,NO,$20 Million,$10 Million
Lago Vista,227-912,NO,II,NO,$80 Million,$80 Million
Lake Dallas,061-912,NO,II,NO,$80 Million,$80 Million
Lake Travis,227-913,NO,I,NO,$100 Million,$100 Million
Lake Worth,220-910,NO,II,NO,$80 Million,$80 Million
Lamar Consolidated,079-901,NO,I,NO,$100 Million,$100 Million
Lamesa,058-906,YES,I,YES,$30 Million,$30 Million
Lampasas,141-901,YES,III,YES,$20 Million,$10 Million
Lancaster,057-913,NO,II,NO,$80 Million,$80 Million
Laneville,201-903,YES,III,NO,$20 Million,$10 Million
Laredo,240-901,YES,III,NO,$20 Million,$10 Million
Lasara,245-901,YES,III,YES,$20 Million,$10 Million
Latexo,113-905,YES,III,YES,$20 Million,$10 Million
Lazbuddie,185-904,YES,III,YES,$20 Million,$10 Million
Leakey,193-902,YES,III,YES,$20 Million,$10 Million
Leander,246-913,NO,I,NO,$100 Million,$100 Million
Leary,019-914,YES,III,NO,$20 Million,$10 Million
Lefors,090-902,YES,III,YES,$20 Million,$10 Million
Leggett,187-906,YES,V,NO,$10 Million,$1 Million
Leon,145-911,YES,I,YES,$30 Million,$30 Million
Leonard,074-909,YES,III,YES,$20 Million,$10 Million
Levelland,110-902,YES,II,YES,$25 Million,$20 Million
Leveretts Chapel,201-904,YES,III,NO,$20 Million,$10 Million
Lewisville,061-902,NO,I,NO,$100 Million,$100 Million
Lexington,144-902,YES,III,YES,$20 Million,$10 Million
Liberty,146-906,YES,I,NO,$30 Million,$30 Million
Liberty Hill,246-908,NO,II,NO,$80 Million,$80 Million
Liberty-Eylau,019-908,YES,III,NO,$20 Million,$10 Million
Lindale,212-903,NO,II,NO,$80 Million,$80 Million
Linden-Kildare,034-905,YES,III,YES,$20 Million,$10 Million
Lindsay,049-907,YES,II,YES,$25 Million,$20 Million
Lingleville,072-909,YES,III,YES,$20 Million,$10 Million
Lipan,111-902,YES,III,YES,$20 Million,$10 Million
Little Cypress-Mauriceville,181-908,YES,I,NO,$30 Million,$30 Million
Little Elm,061-914,NO,II,NO,$80 Million,$80 Million
Littlefield,140-904,YES,II,YES,$25 Million,$20 Million
Livingston,187-907,YES,III,NO,$20 Million,$10 Million
Llano,150-901,YES,III,YES,$20 Million,$10 Million
Lockhart,028-902,YES,III,YES,$20 Million,$10 Million
Lockney,077-902,YES,I,YES,$30 Million,$30 Million
Lohn,160-905,YES,III,YES,$20 Million,$10 Million
Lometa,141-902,YES,III,YES,$20 Million,$10 Million
London,178-906,YES,I,NO,$30 Million,$30 Million
Lone Oak,116-906,YES,V,YES,$10 Million,$1 Million
Longview,092-903,YES,I,NO,$30 Million,$30 Million
Loop,083-902,YES,III,YES,$20 Million,$10 Million
Loraine,168-902,YES,III,YES,$20 Million,$10 Million
Lorena,161-907,YES,III,YES,$20 Million,$10 Million
Lorenzo,054-902,YES,II,YES,$25 Million,$20 Million
Los Fresnos,031-906,YES,II,NO,$25 Million,$20 Million
Louise,241-906,YES,III,YES,$20 Million,$10 Million
Lovejoy,043-919,NO,II,NO,$80 Million,$80 Million
Lovelady,113-903,YES,III,YES,$20 Million,$10 Million
Lubbock,152-901,NO,I,NO,$100 Million,$100 Million
Lubbock-Cooper,152-906,NO,II,NO,$80 Million,$80 Million
Lueders-Avoca,127-905,YES,III,YES,$20 Million,$10 Million
Lufkin,003-903,YES,I,NO,$30 Million,$30 Million
Luling,028-903,YES,III,YES,$20 Million,$10 Million
Lumberton,100-907,YES,III,NO,$20 Million,$10 Million
Lyford,245-902,YES,III,YES,$20 Million,$10 Million
Lytle,007-904,YES,IV,NO,$15 Million,$5 Million
Mabank,129-905,NO,II,NO,$80 Million,$80 Million
Madisonville,154-901,YES,III,YES,$20 Million,$10 Million
Magnolia,170-906,NO,II,NO,$80 Million,$80 Million
Malakoff,107-906,NO,II,NO,$80 Million,$80 Million
Malone,109-908,YES,III,YES,$20 Million,$10 Million
Malta,019-910,YES,IV,NO,$15 Million,$5 Million
Manor,227-907,NO,II,NO,$80 Million,$80 Million
Mansfield,220-908,NO,I,NO,$100 Million,$100 Million
Marathon,022-902,YES,V,YES,$10 Million,$1 Million
Marble Falls,027-904,NO,II,NO,$80 Million,$80 Million
Marfa,189-901,YES,III,YES,$20 Million,$10 Million
Marion,094-904,NO,III,NO,$60 Million,$60 Million
Marlin,073-903,YES,III,YES,$20 Million,$10 Million
Marshall,102-902,YES,I,NO,$30 Million,$30 Million
Mart,161-908,YES,IV,YES,$15 Million,$5 Million
Martins Mill,234-905,NO,IV,NO,$40 Million,$40 Million
Martinsville,174-909,YES,III,NO,$20 Million,$10 Million
Mason,157-901,YES,III,YES,$20 Million,$10 Million
Matagorda,158-904,YES,III,YES,$20 Million,$10 Million
Mathis,205-904,YES,III,YES,$20 Million,$10 Million
Maud,019-903,YES,V,NO,$10 Million,$1 Million
May,025-905,YES,III,YES,$20 Million,$10 Million
Maypearl,070-915,NO,IV,NO,$40 Million,$40 Million
McAllen,108-906,YES,II,NO,$25 Million,$20 Million
McCamey,231-901,YES,I,YES,$30 Million,$30 Million
McDade,011-905,NO,IV,NO,$40 Million,$40 Million
McGregor,161-909,NO,IV,NO,$40 Million,$40 Million
McKinney,043-907,NO,I,NO,$100 Million,$100 Million
McLean,090-903,YES,III,YES,$20 Million,$10 Million
McLeod,034-906,YES,IV,YES,$15 Million,$5 Million
McMullen,162-904,YES,I,YES,$30 Million,$30 Million
Meadow,223-902,YES,III,YES,$20 Million,$10 Million
Medina,010-901,YES,V,YES,$10 Million,$1 Million
Medina Valley,163-908,NO,II,NO,$80 Million,$80 Million
Melissa,043-908,NO,II,NO,$80 Million,$80 Million
Memphis,096-904,YES,III,YES,$20 Million,$10 Million
Menard,164-901,YES,III,YES,$20 Million,$10 Million
Mercedes,108-907,YES,III,NO,$20 Million,$10 Million
