Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
San Perlita,245-904,YES,III,YES,$20 Million,$10 Million
San Saba,206-901,YES,III,YES,$20 Million,$10 Million
San Vicente,022-903,YES,V,YES,$10 Million,$1 Million
Sands,058-909,YES,III,YES,$20 Million,$10 Million
Sanford-Fritch,117-903,YES,III,YES,$20 Million,$10 Million
Sanger,061-908,NO,II,NO,$80 Million,$80 Million
Santa Anna,042-903,YES,IV,YES,$15 Million,$5 Million
Santa Fe,084-909,NO,II,NO,$80 Million,$80 Million
Santa Gertrudis,137-904,YES,IV,YES,$15 Million,$5 Million
Santa Maria,031-913,YES,V,NO,$10 Million,$1 Million
Santa Rosa,031-914,YES,IV,NO,$15 Million,$5 Million
Santo,182-904,YES,III,YES,$20 Million,$10 Million
Savoy,074-911,YES,III,YES,$20 Million,$10 Million
Schertz-Cibolo-Universal City,094-902,NO,II,NO,$80 Million,$80 Million
Schleicher,207-901,YES,III,YES,$20 Million,$10 Million
Schulenburg,075-903,YES,II,YES,$25 Million,$20 Million
Scurry-Rosser,129-910,NO,IV,NO,$40 Million,$40 Million
Seagraves,083-901,YES,III,YES,$20 Million,$10 Million
Sealy,008-902,YES,I,YES,$30 Million,$30 Million
Seguin,094-901,NO,II,NO,$80 Million,$80 Million
Seminole,083-903,YES,I,YES,$30 Million,$30 Million
Seymour,012-901,YES,I,YES,$30 Million,$30 Million
Shallowater,152-909,NO,IV,NO,$40 Million,$40 Million
Shamrock,242-902,YES,III,YES,$20 Million,$10 Million
Sharyland,108-911,YES,III,NO,$20 Million,$10 Million
Shelbyville,210-903,YES,III,YES,$20 Million,$10 Million
Sheldon,101-924,NO,II,NO,$80 Million,$80 Million
Shepherd,204-904,YES,III,YES,$20 Million,$10 Million
Sherman,091-906,NO,II,NO,$80 Million,$80 Million
Shiner,143-903,YES,II,YES,$25 Million,$20 Million
Sidney,047-905,YES,III,YES,$20 Million,$10 Million
Sierra Blanca,115-902,YES,III,YES,$20 Million,$10 Million
Silsbee,100-904,YES,I,NO,$30 Million,$30 Million
Silverton,023-902,YES,I,YES,$30 Million,$30 Million
Simms,019-909,YES,IV,NO,$15 Million,$5 Million
Sinton,205-906,YES,I,NO,$30 Million,$30 Million
Sivells Bend,049-909,YES,V,YES,$10 Million,$1 Million
Skidmore-Tynan,013-905,YES,III,YES,$20 Million,$10 Million
Slaton,152-903,YES,III,YES,$20 Million,$10 Million
Slidell,249-908,YES,III,YES,$20 Million,$10 Million
Slocum,001-909,NO,IV,NO,$40 Million,$40 Million
Smithville,011-904,YES,III,YES,$20 Million,$10 Million
Smyer,110-906,YES,III,YES,$20 Million,$10 Million
Snook,026-903,YES,III,YES,$20 Million,$10 Million
Snyder,208-902,YES,I,YES,$30 Million,$30 Million
Socorro,071-909,YES,I,NO,$30 Million,$30 Million
Somerset,015-909,YES,III,NO,$20 Million,$10 Million
Somerville,026-902,YES,III,YES,$20 Million,$10 Million
Sonora,218-901,YES,II,YES,$25 Million,$20 Million
South San Antonio,015-908,NO,II,NO,$80 Million,$80 Million
Southland,085-903,YES,III,YES,$20 Million,$10 Million
Southside,015-917,NO,II,NO,$80 Million,$80 Million
Southwest,015-912,NO,II,NO,$80 Million,$80 Million
Spearman,098-904,YES,II,YES,$25 Million,$20 Million
Splendora,170-907,NO,III,NO,$60 Million,$60 Million
Spring,101-919,NO,I,NO,$100 Million,$100 Million
Spring Branch,101-920,NO,I,NO,$100 Million,$100 Million
Spring Creek,117-907,YES,III,YES,$20 Million,$10 Million
Spring Hill,092-907,YES,III,NO,$20 Million,$10 Million
Springlake-Earth,140-907,YES,III,YES,$20 Million,$10 Million
Springtown,184-902,NO,II,NO,$80 Million,$80 Million
Spur,063-903,YES,III,YES,$20 Million,$10 Million
Spurger,229-905,YES,III,YES,$20 Million,$10 Million
Stafford,079-910,NO,II,NO,$80 Million,$80 Million
Stamford,127-906,YES,III,YES,$20 Million,$10 Million
Stanton,156-902,YES,I,YES,$30 Million,$30 Million
Stephenville,072-903,YES,I,YES,$30 Million,$30 Million
Sterling City,216-901,YES,I,YES,$30 Million,$30 Million
Stockdale,247-906,NO,IV,NO,$40 Million,$40 Million
Stratford,211-902,YES,III,YES,$20 Million,$10 Million
Strawn,182-905,YES,III,YES,$20 Million,$10 Million
Sudan,140-908,YES,II,YES,$25 Million,$20 Million
Sulphur Bluff,112-910,YES,III,YES,$20 Million,$10 Million
Sulphur Springs,112-901,YES,II,YES,$25 Million,$20 Million
Sundown,110-907,YES,I,YES,$30 Million,$30 Million
Sunnyvale,057-919,NO,II,NO,$80 Million,$80 Million
Sunray,171-902,YES,III,YES,$20 Million,$10 Million
Sweeny,020-906,YES,I,NO,$30 Million,$30 Million
Sweet Home,143-905,YES,IV,YES,$15 Million,$5 Million
Sweetwater,177-902,YES,II,YES,$25 Million,$20 Million
Taft,205-907,YES,I,NO,$30 Million,$30 Million
Tahoka,153-904,YES,I,YES,$30 Million,$30 Million
Tarkington,146-907,YES,III,NO,$20 Million,$10 Million
Tatum,201-910,YES,I,YES,$30 Million,$30 Million
Taylor,246-911,NO,II,NO,$80 Million,$80 Million
Teague,081-904,YES,III,YES,$20 Million,$10 Million
Temple,014-909,YES,I,NO,$30 Million,$30 Million
Tenaha,210-904,YES,III,YES,$20 Million,$10 Million
Terlingua,022-004,YES,V,YES,$10 Million,$1 Million
Terrell,129-906,YES,I,NO,$30 Million,$30 Million
Terrell County,222-901,YES,III,YES,$20 Million,$10 Million
Texarkana,019-907,YES,I,NO,$30 Million,$30 Million
Texas City,084-906,NO,II,NO,$80 Million,$80 Million
Texhoma,211-901,YES,III,YES,$20 Million,$10 Million
Texline,056-902,YES,III,YES,$20 Million,$10 Million
Thorndale,166-905,YES,III,YES,$20 Million,$10 Million
Thrall,246-912,NO,IV,NO,$40 Million,$40 Million
Three Rivers,149-902,YES,I,YES,$30 Million,$30 Million
Three Way,072-901,YES,V,YES,$10 Million,$1 Million
Throckmorton,224-901,YES,III,YES,$20 Million,$10 Million
Tidehaven,158-902,YES,I,YES,$30 Million,$30 Million
Timpson,210-905,YES,III,YES,$20 Million,$10 Million
Tioga,091-907,NO,IV,NO,$40 Million,$40 Million
Tolar,111-903,NO,IV,NO,$40 Million,$40 Million
Tom Bean,091-918,NO,IV,NO,$40 Million,$40 Million
Tomball,101-921,NO,I,NO,$100 Million,$100 Million
Tornillo,071-908,YES,III,NO,$20 Million,$10 Million
Trent,221-905,YES,II,YES,$25 Million,$20 Million
Trenton,074-912,YES,III,YES,$20 Million,$10 Million
Trinidad,107-907,NO,V,NO,$20 Million,$20 Million
Trinity,228-903,YES,III,YES,$20 Million,$10 Million
Troup,212-904,YES,III,NO,$20 Million,$10 Million
Troy,014-910,YES,III,YES,$20 Million,$10 Million
Tulia,219-903,YES,III,YES,$20 Million,$10 Million
Tuloso-Midway,178-912,YES,I,NO,$30 Million,$30 Million
Turkey-Quitaque,096-905,YES,III,YES,$20 Million,$10 Million
Tyler,212-905,NO,II,NO,$80 Million,$80 Million
Union Grove,230-908,YES,III,YES,$20 Million,$10 Million
Union Hill,230-904,YES,IV,YES,$15 Million,$5 Million
United,240-903,YES,I,NO,$30 Million,$30 Million
Utopia,232-904,YES,IV,YES,$15 Million,$5 Million
Uvalde,232-903,YES,II,YES,$25 Million,$20 Million
Valentine,122-902,YES,III,YES,$20 Million,$10 Million
Valley Mills,018-904,YES,III,YES,$20 Million,$10 Million
Valley View,108-916,YES,III,NO,$20 Million,$10 Million
Valleyview,049-903,YES,III,YES,$20 Million,$10 Million
Van,234-906,NO,III,NO,$60 Million,$60 Million
Van Alstyne,091-908,NO,III,NO,$60 Million,$60 Million
Van Vleck,158-906,YES,I,YES,$30 Million,$30 Million
Vega,180-902,YES,I,YES,$30 Million,$30 Million
Venus,126-908,NO,IV,NO,$40 Million,$40 Million
Veribest,226-908,NO,IV,NO,$40 Million,$40 Million
Vernon,244-903,YES,I,YES,$30 Million,$30 Million
Victoria,235-902,NO,II,NO,$80 Million,$80 Million
Vidor,181-907,YES,I,YES,$30 Million,$30 Million
Vysehrad,143-904,YES,III,YES,$20 Million,$10 Million
Waco,161-914,NO,II,NO,$80 Million,$80 Million
Waelder,089-905,YES,III,YES,$20 Million,$10 Million
Walcott,059-902,YES,III,YES,$20 Million,$10 Million
Wall,226-906,NO,IV,NO,$40 Million,$40 Million
Waller,237-904,YES,I,NO,$30 Million,$30 Million
Walnut Bend,049-908,YES,V,YES,$10 Million,$1 Million
Walnut Springs,018-905,YES,III,YES,$20 Million,$10 Million
Warren,229-904,YES,III,YES,$20 Million,$10 Million
Waskom,102-903,YES,II,NO,$25 Million,$20 Million
Water Valley,226-905,YES,III,YES,$20 Million,$10 Million
Waxahachie,070-912,NO,II,NO,$80 Million,$80 Million
Weatherford,184-903,NO,II,NO,$80 Million,$80 Million
Webb Consolidated,240-904,YES,I,NO,$30 Million,$30 Million
Weimar,045-905,YES,III,YES,$20 Million,$10 Million
Wellington,044-902,YES,III,YES,$20 Million,$10 Million
Wellman-Union,223-904,YES,III,YES,$20 Million,$10 Million
Wells,037-909,YES,III,NO,$20 Million,$10 Million
Weslaco,108-913,YES,III,NO,$20 Million,$10 Million
West,161-916,YES,III,YES,$20 Million,$10 Million
West Hardin,100-908,YES,III,NO,$20 Million,$10 Million
West Orange-Cove,181-906,YES,I,NO,$30 Million,$30 Million
West Oso,178-915,YES,III,NO,$20 Million,$10 Million
West Rusk,201-914,YES,III,NO,$20 Million,$10 Million
West Sabine,202-905,YES,III,YES,$20 Million,$10 Million
Westbrook,168-903,YES,III,YES,$20 Million,$10 Million
Westhoff,062-905,YES,III,YES,$20 Million,$10 Million
Westphalia,073-904,YES,IV,YES,$15 Million,$5 Million
Westwood,001-908,NO,IV,NO,$40 Million,$40 Million
Wharton,241-904,YES,I,YES,$30 Million,$30 Million
Wheeler,242-903,YES,III,YES,$20 Million,$10 Million
White Deer,033-904,YES,II,YES,$25 Million,$20 Million
White Oak,092-908,YES,III,NO,$20 Million,$10 Million
White Settlement,220-920,NO,II,NO,$80 Million,$80 Million
Whiteface-Bledsoe,040-902,YES,III,YES,$20 Million,$10 Million
Whitehouse,212-906,NO,II,NO,$80 Million,$80 Million
Whitesboro,091-909,YES,III,YES,$20 Million,$10 Million
Whitewright,091-910,YES,III,YES,$20 Million,$10 Million
Whitharral,110-908,YES,IV,YES,$15 Million,$5 Million
Whitney,109-911,YES,III,YES,$20 Million,$10 Million
Wichita Falls,243-905,NO,II,NO,$80 Million,$80 Million
Wildorado,180-904,YES,II,YES,$25 Million,$20 Million
Willis,170-904,YES,I,YES,$30 Million,$30 Million
Wills Point,234-907,NO,III,NO,$60 Million,$60 Million
Wilson,153-907,YES,III,YES,$20 Million,$10 Million
Wimberly,105-905,NO,II,NO,$80 Million,$80 Million
Windthorst,005-904,YES,III,YES,$20 Million,$10 Million
Wink-Loving,248-902,YES,I,YES,$30 Million,$30 Million
Winnsboro,250-907,YES,III,YES,$20 Million,$10 Million
Winona,212-910,NO,III,NO,$60 Million,$60 Million
Winters,200-904,YES,III,YES,$20 Million,$10 Million
Woden,174-906,YES,III,NO,$20 Million,$10 Million
Wolfe City,116-909,YES,III,YES,$20 Million,$10 Million
Woodsboro,196-902,YES,II,YES,$25 Million,$20 Million
Woodson,224-902,YES,III,YES,$20 Million,$10 Million
Woodville,229-903,YES,III,YES,$20 Million,$10 Million
Wortham,081-905,YES,V,YES,$10 Million,$1 Million
Wylie,043-914,NO,II,NO,$80 Million,$80 Million
Wylie,221-912,NO,II,NO,$80 Million,$80 Million
Yantis,250-905,YES,III,YES,$20 Million,$10 Million
Yoakum,062-903,YES,I,YES,$30 Million,$30 Million
Yorktown,062-904,YES,II,YES,$25 Million,$20 Million
Ysleta,071-905,YES,I,NO,$30 Million,$30 Million
Zapata,253-901,YES,III,YES,$20 Million,$10 Million
Zavalla,003-906,YES,III,NO,$20 Million,$10 Million
Zephyr,025-906,YES,III,YES,$20 Million,$10 Million
